ARPSPOOFER; 2019-05-10 00:19:55; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:55; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:55; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:56; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:56; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:56; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:03; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:20:03; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:20:03; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:20:03; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:20:03; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:20:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:30; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:20:30; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:20:30; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:20:30; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:20:30; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:20:30; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:30; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:30; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:30; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:30; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:31; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:32; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:20:32; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:38; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:21:38; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:21:38; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:21:38; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:21:38; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:21:38; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:38; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:39; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
